"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Crime Type_enhancement","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type_primary","Disposition Date_primary","Disposition_primary","Lesser Charge Plea","has_prior"
3471237,3490576,1,"186.22(b)(1)","PC","Enhancement",2023-08-14,"Dismissed/Not True","Black","Male",2023-07-21,NA,"In Custody",NA,2023-07-21,"N","594(a)/(b)(1)","PC","Felony",2023-08-14,"Reduced","594(a)/(b)(1) PC MISD",0
3474435,3494119,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Female",2023-08-06,NA,"In Custody",NA,2023-08-04,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3474435,3494119,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Female",2023-08-06,NA,"In Custody",NA,2023-08-04,"N","245(a)(2)","PC","Felony",NA,NA,NA,0
3475995,3495812,1,"186.22(b)(4)","PC","Other",2024-06-07,"True","Hispanic","Male",2023-06-16,1e+06,"Appearance Date",NA,2023-06-04,"N","246","PC","Felony",2024-06-07,"Guilty",NA,1
3475995,3495812,2,"186.22(b)(1)","PC","Enhancement",2024-06-07,"True","Hispanic","Male",2023-06-16,1e+06,"Appearance Date",NA,2023-06-04,"N","245(b)","PC","Felony",2024-06-07,"Guilty",NA,1
3475995,3495812,3,"186.22(b)(1)","PC","Enhancement",2024-06-07,"True","Hispanic","Male",2023-06-16,1e+06,"Appearance Date",NA,2023-06-04,"N","245(b)","PC","Felony",2024-06-07,"Guilty",NA,1
3475995,3495812,4,"186.22(b)(1)","PC","Enhancement",2024-06-07,"True","Hispanic","Male",2023-06-16,1e+06,"Appearance Date",NA,2023-06-04,"N","29820(a)(1)(A)/(b)","PC","Felony",2024-06-07,"Guilty",NA,1
3476893,3496816,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-08-15,NA,"In Custody",NA,2023-08-13,"N","29800(a)(1)","PC","Felony",NA,NA,NA,0
3477610,3497506,1,"186.22(b)(1)","PC","Enhancement",2024-02-02,"Dismissed/Not True","Hispanic","Male",2023-08-17,50000,"Walk Thru Warrant",NA,2023-08-17,"N","245(a)(2)","PC","Felony",2024-02-02,"Dismissed/Not Guilty",NA,0
3477610,3497506,2,"186.22(b)(1)","PC","Enhancement",2024-02-02,"Dismissed/Not True","Hispanic","Male",2023-08-17,50000,"Walk Thru Warrant",NA,2023-08-17,"N","182(a)(5)","PC","Felony",2024-02-02,"Dismissed/Not Guilty",NA,0
3477610,3497506,3,"186.22(b)(1)","PC","Enhancement",2024-02-02,"Dismissed/Not True","Hispanic","Male",2023-08-17,50000,"Walk Thru Warrant",NA,2023-08-17,"N","25850(a)/(c)(6)","PC","Felony",2024-02-02,"Dismissed/Not Guilty",NA,0
3477610,3497506,4,"186.22(b)(1)","PC","Enhancement",2024-02-02,"Dismissed/Not True","Hispanic","Male",2023-08-17,50000,"Walk Thru Warrant",NA,2023-08-17,"N","186.22(a)","PC","Felony",2024-02-02,"Dismissed/Not Guilty",NA,0
3481500,3473578,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2023-04-29,NA,"Arraignment Letter",NA,2023-04-29,"N","594(a)/(b)(1)","PC","Felony",NA,NA,NA,0
3485369,3506097,1,"186.22(b)(1)","PC","Enhancement",2023-09-27,"Dismissed/Not True","White","Male",NA,NA,"In Custody",NA,2023-08-17,"N","245(a)(2)","PC","Felony",2023-09-27,"Reduced","245(a)(2) PC MISD",0
3485369,3506097,2,"186.22(b)(1)","PC","Enhancement",2023-09-27,"Dismissed/Not True","White","Male",NA,NA,"In Custody",NA,2023-08-17,"N","182(a)(5)","PC","Felony",2023-09-27,"Reduced","182(a)(5) PC MISD",0
3485369,3506097,3,"186.22(b)(1)","PC","Enhancement",2023-09-27,"True","White","Male",NA,NA,"In Custody",NA,2023-08-17,"N","25850(a)/(c)(6)","PC","Felony",2023-09-27,"Guilty",NA,0
3485369,3506097,4,"186.22(b)(1)","PC","Enhancement",2023-09-27,"True","White","Male",NA,NA,"In Custody",NA,2023-08-17,"N","29800(a)(1)","PC","Felony",2023-09-27,"Guilty",NA,0
3485369,3506097,5,"186.22(b)(1)","PC","Enhancement",2023-09-27,"True","White","Male",NA,NA,"In Custody",NA,2023-08-17,"N","30305(a)(1)","PC","Felony",2023-09-27,"Guilty",NA,0
3485369,3506097,6,"186.22(b)(1)","PC","Enhancement",2023-09-27,"Dismissed/Not True","White","Male",NA,NA,"In Custody",NA,2023-08-17,"N","186.22(a)","PC","Felony",2023-09-27,"Reduced","186.22(a) PC MISD",0
3485552,3506288,1,"186.22(b)(1)","PC","Enhancement",2025-06-10,"True","Hispanic","Male",2023-09-25,1e+06,"Arraignment Letter",NA,2023-09-25,"N","246.3(a)","PC","Felony",2025-06-10,"Guilty",NA,1
3485552,3506288,2,"186.22(b)(1)","PC","Enhancement",2025-06-10,"True","Hispanic","Male",2023-09-25,1e+06,"Arraignment Letter",NA,2023-09-25,"N","29800(a)(1)","PC","Felony",2025-06-10,"Guilty",NA,1
3485552,3506288,3,"186.22(b)(1)","PC","Enhancement",2025-06-10,"True","Hispanic","Male",2023-09-25,1e+06,"Arraignment Letter",NA,2023-09-25,"N","30305(a)(1)","PC","Felony",2025-06-10,"Guilty",NA,1
3485552,3506290,4,"186.22(b)(1)","PC","Enhancement",2025-05-16,"True","Hispanic","Male",2023-09-25,30000,"In Custody",NA,2023-09-25,"N","25850(a)/(c)(6)","PC","Felony",2025-05-16,"Guilty",NA,0
3485598,3506341,1,"186.22(b)(1)","PC","Enhancement",2024-05-17,"True","Hispanic","Male",2023-09-21,NA,"In Custody",NA,2023-09-21,"N","215(a)","PC","Felony",2024-05-17,"Guilty",NA,0
3485598,3506341,2,"186.22(b)(1)","PC","Enhancement",2024-05-17,"True","Hispanic","Male",2023-09-21,NA,"In Custody",NA,2023-09-21,"N","211/212.5(c)","PC","Felony",2024-05-17,"Guilty",NA,0
3485598,3506341,3,"186.22(b)(1)","PC","Enhancement",2024-05-17,"True","Hispanic","Male",2023-09-21,NA,"In Custody",NA,2023-09-21,"N","211/212.5(c)","PC","Felony",2024-05-17,"Guilty",NA,0
3485598,3506341,4,"186.22(b)(1)","PC","Enhancement",2024-05-17,"True","Hispanic","Male",2023-09-21,NA,"In Custody",NA,2023-09-21,"N","211/212.5(c)","PC","Felony",2024-05-17,"Guilty",NA,0
3485598,3506341,5,"186.22(b)(1)","PC","Enhancement",2024-05-17,"True","Hispanic","Male",2023-09-21,NA,"In Custody",NA,2023-09-21,"N","422(a)","PC","Felony",2024-05-17,"Guilty",NA,0
3485598,3506341,6,"186.22(b)(1)","PC","Enhancement",2024-05-17,"True","Hispanic","Male",2023-09-21,NA,"In Custody",NA,2023-09-21,"N","422(a)","PC","Felony",2024-05-17,"Guilty",NA,0
3485598,3506342,1,"186.22(b)(1)","PC","Enhancement",2024-05-17,"True","Hispanic","Male",2023-09-21,NA,"In Custody",NA,2023-09-21,"N","215(a)","PC","Felony",2024-05-17,"Guilty",NA,1
3485598,3506342,2,"186.22(b)(1)","PC","Enhancement",2024-05-17,"True","Hispanic","Male",2023-09-21,NA,"In Custody",NA,2023-09-21,"N","211/212.5(c)","PC","Felony",2024-05-17,"Guilty",NA,1
3485598,3506342,3,"186.22(b)(1)","PC","Enhancement",2024-05-17,"True","Hispanic","Male",2023-09-21,NA,"In Custody",NA,2023-09-21,"N","211/212.5(c)","PC","Felony",2024-05-17,"Guilty",NA,1
3485598,3506342,4,"186.22(b)(1)","PC","Enhancement",2024-05-17,"True","Hispanic","Male",2023-09-21,NA,"In Custody",NA,2023-09-21,"N","211/212.5(c)","PC","Felony",2024-05-17,"Guilty",NA,1
3485598,3506342,5,"186.22(b)(1)","PC","Enhancement",2024-05-17,"True","Hispanic","Male",2023-09-21,NA,"In Custody",NA,2023-09-21,"N","422(a)","PC","Felony",2024-05-17,"Guilty",NA,1
3485598,3506342,6,"186.22(b)(1)","PC","Enhancement",2024-05-17,"True","Hispanic","Male",2023-09-21,NA,"In Custody",NA,2023-09-21,"N","422(a)","PC","Felony",2024-05-17,"Guilty",NA,1
3494494,3516076,1,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",NA,1e+06,"In Custody",NA,2023-09-10,"N","187(a)","PC","Felony",NA,NA,NA,0
3494833,3516462,1,"186.22(b)(1)","PC","Enhancement",2024-08-08,"Dismissed/Not True","Hispanic","Male",2023-11-11,NA,"In Custody",NA,2023-11-10,"N","187(a)","PC","Felony",2024-08-08,"Dismissed/Not Guilty",NA,1
3497412,3519315,1,"186.22(b)(1)","PC","Enhancement",2024-02-02,"Dismissed/Not True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-07-21,"N","664(a)-187(a)","PC","Felony",2024-02-02,"Dismissed/Not Guilty",NA,0
3497412,3519316,1,"186.22(b)(1)","PC","Enhancement",2024-02-02,"Dismissed/Not True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-07-21,"N","664(a)-187(a)","PC","Felony",2024-02-02,"Dismissed/Not Guilty",NA,0
3497413,3519317,1,"186.22(b)(1)","PC","Enhancement",2024-06-06,"Dismissed/Not True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-09-16,"N","664(a)-187(a)","PC","Felony",2024-06-06,"Dismissed/Not Guilty",NA,0
